subscription_fact_key,customer_key,geography_key,plan_key,payment_method_key,tenure_cohort_key,churn_reason_key,tenure_months,monthly_charges,total_charges,is_new_customer_imputed_charges,churn_flag,churn_score,cltv,addon_service_count,avg_revenue_per_tenure_month,recency_tenure_months,frequency_addon_breadth,monetary_total_charges
27,27,27,22,2,4,14,37,76.5,2868.15,0,1,67,2793,0,77.51756756756757,37,0,2868.15
28,28,28,23,2,1,6,10,100.25,1064.65,0,1,87,5998,3,106.465,10,3,1064.65
29,29,29,22,2,1,7,3,74.4,229.55,0,1,76,4415,0,76.51666666666667,3,0,229.55
30,30,30,24,2,3,8,27,78.05,2135.5,0,1,95,4638,1,79.0925925925926,27,1,2135.5
31,31,31,25,4,3,9,25,58.6,1502.65,0,1,99,4190,5,60.106,25,5,1502.65
32,32,32,26,2,1,10,1,35.45,35.45,0,1,80,2301,1,35.45,1,1,35.45
33,33,33,27,2,1,15,2,44.35,81.25,0,1,76,2570,0,40.625,2,0,81.25
34,34,34,2,1,1,15,1,70.45,70.45,0,1,76,3964,0,70.45,1,0,70.45
35,35,35,28,2,1,15,8,71.15,563.65,0,1,66,2662,3,70.45625,8,3,563.65
36,36,36,29,2,1,16,1,45.65,45.65,0,1,73,2600,0,45.65,1,0,45.65
37,37,37,16,1,1,17,7,95.0,655.5,0,1,94,2786,2,93.64285714285714,7,2,655.5
38,38,38,30,2,2,6,20,82.4,1592.35,0,1,86,5719,1,79.61749999999999,20,1,1592.35
39,39,39,2,3,1,7,4,70.9,273.0,0,1,75,4287,0,68.25,4,0,273.0
40,40,40,31,2,5,8,58,45.3,2651.2,0,1,100,5444,3,45.710344827586205,58,3,2651.2
41,41,41,4,2,1,9,2,104.4,242.8,0,1,83,4690,4,121.4,2,4,242.8
42,42,42,32,3,5,10,53,94.85,5000.2,0,1,80,4328,3,94.3433962264151,53,3,5000.2
43,43,43,22,1,2,11,15,74.45,1145.7,0,1,99,5717,0,76.38000000000001,15,0,1145.7
44,44,44,33,3,1,12,7,76.45,503.6,0,1,81,4419,1,71.94285714285715,7,1,503.6
45,45,45,10,3,1,13,1,29.95,29.95,0,1,95,4534,1,29.95,1,1,29.95
46,46,46,34,3,1,14,8,84.5,662.65,0,1,86,2152,1,82.83125,8,1,662.65
47,47,47,35,2,2,6,13,79.25,1111.65,0,1,73,5142,2,85.51153846153846,13,2,1111.65
48,48,48,36,2,1,7,1,24.8,24.8,0,1,94,4851,0,24.8,1,0,24.8
49,49,49,37,2,1,8,6,91.0,531.0,0,1,94,2283,3,88.5,6,3,531.0
50,50,50,38,2,1,9,1,79.9,79.9,0,1,98,3394,1,79.9,1,1,79.9
51,51,51,39,2,2,10,19,106.6,1934.45,0,1,71,3764,5,101.81315789473685,19,5,1934.45
52,52,52,29,4,1,15,2,46.0,84.5,0,1,76,2667,0,42.25,2,0,84.5
53,53,53,2,2,1,15,4,70.15,268.35,0,1,67,2227,0,67.0875,4,0,268.35
54,54,54,40,1,1,15,4,50.05,179.35,0,1,82,3394,1,44.8375,4,1,179.35
55,55,55,41,1,1,16,1,55.2,55.2,0,1,81,3638,1,55.2,1,1,55.2
56,56,56,42,1,1,17,1,84.6,84.6,0,1,66,2484,2,84.6,1,2,84.6
57,57,57,43,1,1,6,2,54.4,114.1,0,1,81,2556,1,57.05,2,1,114.1
58,58,58,44,2,1,7,11,95.0,1120.3,0,1,85,5980,3,101.84545454545454,11,3,1120.3
59,59,59,45,2,2,8,15,74.4,1074.3,0,1,86,4616,1,71.61999999999999,15,1,1074.3
60,60,60,46,1,1,9,1,48.55,48.55,0,1,77,5687,1,48.55,1,1,48.55
61,61,61,47,2,1,10,2,70.4,147.15,0,1,75,5687,0,73.575,2,0,147.15
62,62,62,48,2,1,11,1,40.2,40.2,0,1,65,5828,2,40.2,1,2,40.2
63,63,63,29,4,1,12,2,44.6,80.55,0,1,99,4884,0,40.275,2,0,80.55
64,64,64,7,2,1,13,3,41.15,132.2,0,1,96,2314,2,44.06666666666666,3,2,132.2
65,65,65,5,2,2,14,13,106.9,1364.3,0,1,84,2494,4,104.94615384615385,13,4,1364.3
66,66,66,49,1,5,6,59,19.35,1099.6,0,1,83,5084,0,18.63728813559322,59,0,1099.6
67,67,67,50,2,2,7,16,94.45,1511.2,0,1,81,3810,3,94.45,16,3,1511.2
68,68,68,51,3,1,8,1,24.8,24.8,0,1,73,5087,0,24.8,1,0,24.8
69,69,69,47,1,1,9,1,70.6,70.6,0,1,69,3338,0,70.6,1,0,70.6
70,70,70,52,2,1,10,5,85.4,401.1,0,1,80,3676,2,80.22,5,2,401.1
71,71,71,5,2,5,15,52,105.05,5624.85,0,1,65,4839,4,108.17019230769232,52,4,5624.85
72,72,72,53,1,2,15,18,95.15,1779.95,0,1,68,4643,3,98.88611111111112,18,3,1779.95
73,73,73,47,2,1,15,1,70.0,70.0,0,1,97,4094,0,70.0,1,0,70.0
74,74,74,45,2,1,16,8,74.5,606.55,0,1,80,4345,1,75.81875,8,1,606.55
75,75,75,29,4,1,17,10,44.85,435.4,0,1,83,4061,0,43.54,10,0,435.4
76,76,76,22,2,2,6,24,76.1,1712.7,0,1,98,2018,0,71.3625,24,0,1712.7
77,77,77,54,1,1,7,1,73.6,73.6,0,1,80,2565,1,73.6,1,1,73.6
78,78,78,15,2,1,8,4,95.45,396.1,0,1,85,3677,2,99.025,4,2,396.1
79,79,79,22,2,3,9,32,74.9,2303.35,0,1,69,4105,0,71.9796875,32,0,2303.35
80,80,80,12,2,1,10,5,80.6,415.55,0,1,69,5715,1,83.11,5,1,415.55
81,81,81,55,4,4,11,38,80.3,3058.65,0,1,81,2071,5,80.49078947368422,38,5,3058.65
82,82,82,56,2,2,12,24,93.15,2231.05,0,1,73,2212,3,92.96041666666667,24,3,2231.05
83,83,83,57,3,5,13,54,82.45,4350.1,0,1,83,4149,5,80.55740740740741,54,5,4350.1
84,84,84,2,2,1,14,2,70.35,139.05,0,1,73,2671,0,69.525,2,0,139.05
85,85,85,22,2,1,6,7,73.85,511.25,0,1,67,2473,0,73.03571428571429,7,0,511.25
86,86,86,58,1,1,7,2,80.6,155.8,0,1,92,2683,1,77.9,2,1,155.8
87,87,87,59,3,6,8,68,75.8,5293.95,0,1,81,4903,4,77.85220588235293,68,4,5293.95
88,88,88,60,2,4,9,43,104.6,4759.85,0,1,91,5250,4,110.69418604651163,43,4,4759.85
89,89,89,5,2,6,10,63,103.4,6603.0,0,1,98,4352,4,104.80952380952381,63,4,6603.0
90,90,90,61,2,1,15,2,90.4,168.2,0,1,76,4157,2,84.1,2,2,168.2
91,91,91,62,3,1,15,4,84.8,371.9,0,1,73,4939,2,92.975,4,2,371.9
92,92,92,63,2,2,15,21,41.9,840.1,0,1,97,4778,2,40.00476190476191,21,2,840.1
93,93,93,64,3,1,16,10,80.25,846.0,0,1,85,3598,1,84.6,10,1,846.0
94,94,94,65,4,3,17,27,30.75,805.1,0,1,91,2927,1,29.81851851851852,27,1,805.1
95,95,95,53,3,1,6,5,96.5,492.55,0,1,98,5383,3,98.51,5,3,492.55
96,96,96,66,2,1,7,2,85.65,181.5,0,1,73,3878,1,90.75,2,1,181.5
97,97,97,4,3,3,8,25,104.95,2566.5,0,1,66,3642,4,102.66,25,4,2566.5
98,98,98,67,1,1,15,1,50.65,50.65,0,1,76,2431,1,50.65,1,1,50.65
99,99,99,68,4,1,10,1,90.85,90.85,0,1,81,3424,2,90.85,1,2,90.85
100,100,100,8,1,1,11,11,19.95,214.75,0,1,80,5888,0,19.522727272727273,11,0,214.75
101,101,101,62,2,5,12,55,85.45,4874.7,0,1,100,5502,2,88.63090909090909,55,2,4874.7
102,102,102,45,4,3,13,34,73.95,2524.45,0,1,94,5795,1,74.24852941176471,34,1,2524.45
103,103,103,3,4,6,14,69,99.45,7007.6,0,1,80,4020,3,101.55942028985508,69,3,7007.6
104,104,104,69,1,1,6,1,19.9,19.9,0,1,92,3351,0,19.9,1,0,19.9
105,105,105,69,1,1,7,1,19.6,19.6,0,1,95,3448,0,19.6,1,0,19.6
106,106,106,14,2,1,8,3,81.35,233.7,0,1,73,2818,1,77.89999999999999,3,1,233.7
107,107,107,70,2,2,9,22,83.3,1845.9,0,1,88,3804,2,83.90454545454546,22,2,1845.9
108,108,108,17,3,1,10,1,75.3,75.3,0,1,67,4902,1,75.3,1,1,75.3
109,109,109,69,1,6,15,61,19.4,1182.55,0,1,82,4221,0,19.38606557377049,61,0,1182.55
110,110,110,29,3,1,15,12,45.4,518.9,0,1,68,2887,0,43.24166666666667,12,0,518.9
111,111,111,5,2,5,15,60,105.9,6396.45,0,1,84,4105,4,106.6075,60,4,6396.45
112,112,112,47,1,1,3,1,69.55,69.55,0,1,73,2792,0,69.55,1,0,69.55
113,113,113,64,2,3,3,28,81.05,2227.1,0,1,98,5201,1,79.53928571428571,28,1,2227.1
114,114,114,71,2,1,3,4,101.15,385.9,0,1,84,4417,3,96.475,4,3,385.9
115,115,115,9,2,1,3,7,99.8,673.25,0,1,98,2031,3,96.17857142857143,7,3,673.25
116,116,116,72,2,2,3,13,55.95,734.35,0,1,91,4498,1,56.48846153846154,13,1,734.35
117,117,117,73,2,1,3,1,55.0,55.0,0,1,71,4877,1,55.0,1,1,55.0
118,118,118,45,2,1,3,1,74.7,74.7,0,1,80,5980,1,74.7,1,1,74.7
119,119,119,14,2,2,3,24,80.25,1861.5,0,1,77,4418,1,77.5625,24,1,1861.5
120,120,120,50,2,1,3,5,96.1,453.4,0,1,66,4192,3,90.67999999999999,5,3,453.4
121,121,121,47,3,2,3,15,69.0,994.8,0,1,73,5671,0,66.32,15,0,994.8
122,122,122,74,3,4,6,48,45.3,2145.0,0,1,65,4926,3,44.6875,48,3,2145.0
123,123,123,75,2,1,7,8,83.55,680.05,0,1,65,2879,2,85.00625,8,2,680.05
124,124,124,22,2,1,8,1,74.35,74.35,0,1,93,2814,0,74.35,1,0,74.35
125,125,125,54,2,1,9,2,74.4,139.4,0,1,77,4263,1,69.7,2,1,139.4
126,126,126,76,3,2,10,22,43.75,903.6,0,1,66,3099,3,41.07272727272727,22,3,903.6
127,127,127,10,2,1,11,5,28.45,131.05,0,1,89,4099,1,26.21,5,1,131.05
128,128,128,77,3,1,12,12,99.7,1238.45,0,1,76,2538,4,103.20416666666667,12,4,1238.45
129,129,129,78,2,2,13,20,94.1,1782.4,0,1,87,2666,3,89.12,20,3,1782.4
130,130,130,50,2,1,15,2,94.2,167.5,0,1,72,3715,3,83.75,2,3,167.5
131,131,131,79,2,1,6,6,80.5,502.85,0,1,98,5032,1,83.80833333333334,6,1,502.85
132,132,132,22,2,1,7,5,74.35,334.8,0,1,82,5273,0,66.96000000000001,5,0,334.8
133,133,133,80,3,4,8,40,104.8,4131.95,0,1,88,3492,4,103.29875,40,4,4131.95
134,134,134,54,3,3,9,27,75.2,1929.35,0,1,99,4517,1,71.4574074074074,27,1,1929.35
135,135,135,81,3,2,10,23,75.6,1758.6,0,1,81,2115,0,76.4608695652174,23,0,1758.6
136,136,136,3,2,3,15,34,100.05,3480.0,0,1,72,2568,3,102.3529411764706,34,3,3480.0
137,137,137,82,2,1,15,1,85.0,85.0,0,1,80,5679,1,85.0,1,1,85.0
138,138,138,66,3,1,15,10,86.05,834.1,0,1,85,2966,1,83.41,10,1,834.1
139,139,139,83,4,2,16,13,45.55,597.0,0,1,74,4856,3,45.92307692307692,13,3,597.0
140,140,140,75,1,4,17,39,86.3,3266.0,0,1,98,3364,2,83.74358974358974,39,2,3266.0
141,141,141,14,3,3,3,32,80.35,2596.15,0,1,92,5974,1,81.1296875,32,1,2596.15
142,142,142,3,2,3,4,35,100.25,3527.6,0,1,72,2744,3,100.78857142857143,35,3,3527.6
143,143,143,84,4,5,5,56,100.3,5614.45,0,1,67,5170,3,100.25803571428571,56,3,5614.45
144,144,144,8,1,1,1,12,19.0,233.55,0,1,72,3535,0,19.462500000000002,12,0,233.55
145,145,145,33,1,1,3,1,75.3,75.3,0,1,87,3244,1,75.3,1,1,75.3
146,146,146,85,2,1,3,4,89.2,346.2,0,1,74,5808,2,86.55,4,2,346.2
147,147,147,66,2,1,4,1,85.7,85.7,0,1,66,4880,1,85.7,1,1,85.7
148,148,148,86,1,1,4,12,61.65,713.75,0,1,67,5670,3,59.479166666666664,12,3,713.75
149,149,149,87,3,6,4,65,105.25,6786.4,0,1,91,4196,4,104.40615384615384,65,4,6786.4
150,150,150,88,2,1,5,9,29.95,248.95,0,1,83,2573,1,27.66111111111111,9,1,248.95
151,151,151,89,1,1,5,9,65.0,663.05,0,1,76,3983,4,73.67222222222222,9,4,663.05
152,152,152,8,3,1,5,7,20.0,137.6,0,1,100,4479,0,19.657142857142855,7,0,137.6
153,153,153,90,4,5,1,49,90.05,4547.25,0,1,96,5059,2,92.80102040816327,49,2,4547.25
154,154,154,91,3,4,1,43,110.75,4687.9,0,1,65,2728,5,109.02093023255813,43,5,4687.9
155,155,155,5,2,6,3,65,105.5,6985.65,0,1,89,5720,4,107.47153846153846,65,4,6985.65
156,156,156,92,3,5,4,56,104.55,5794.65,0,1,91,6268,4,103.47589285714285,56,4,5794.65
157,157,157,82,2,1,5,10,85.25,855.3,0,1,75,3573,1,85.53,10,1,855.3
158,158,158,41,2,4,15,43,56.15,2499.3,0,1,65,2152,1,58.12325581395349,43,1,2499.3
159,159,159,61,2,1,3,1,89.55,89.55,0,1,99,4996,2,89.55,1,2,89.55
160,160,160,15,2,2,3,20,94.55,1899.65,0,1,84,5604,2,94.9825,20,2,1899.65
161,161,161,29,1,1,4,1,45.7,45.7,0,1,95,2295,0,45.7,1,0,45.7
162,162,162,90,2,1,4,2,89.5,161.5,0,1,80,2065,2,80.75,2,2,161.5
163,163,163,2,3,1,4,3,69.55,222.3,0,1,87,2876,0,74.10000000000001,3,0,222.3
164,164,164,17,1,1,5,1,74.6,74.6,0,1,94,3860,1,74.6,1,1,74.6
165,165,165,8,2,1,5,8,19.65,164.3,0,1,83,5432,0,20.5375,8,0,164.3
166,166,166,93,1,1,5,2,19.85,35.9,0,1,68,2362,0,17.95,2,0,35.9
167,167,167,36,1,1,1,4,24.25,96.05,0,1,93,2038,0,24.0125,4,0,96.05
168,168,168,47,2,1,1,2,69.65,145.15,0,1,80,2323,0,72.575,2,0,145.15
169,169,169,27,1,1,3,4,45.65,191.05,0,1,78,2864,0,47.7625,4,0,191.05
170,170,170,22,1,1,4,1,75.05,75.05,0,1,78,4838,0,75.05,1,0,75.05
171,171,171,94,2,5,5,52,49.15,2550.9,0,1,90,5597,3,49.05576923076923,52,3,2550.9
172,172,172,26,2,1,1,2,34.7,62.25,0,1,65,3146,1,31.125,2,1,62.25
173,173,173,38,2,1,3,1,80.0,80.0,0,1,88,2046,1,80.0,1,1,80.0
174,174,174,46,2,1,3,2,49.25,91.1,0,1,89,3475,1,45.55,2,1,91.1
175,175,175,22,4,1,4,3,75.1,270.7,0,1,69,4965,0,90.23333333333333,3,0,270.7
176,176,176,95,2,1,4,3,50.15,168.15,0,1,86,3273,1,56.050000000000004,3,1,168.15
177,177,177,96,3,3,4,25,79.85,2015.35,0,1,85,4535,2,80.61399999999999,25,2,2015.35
178,178,178,8,1,1,5,1,19.55,19.55,0,1,66,3556,0,19.55,1,0,19.55
179,179,179,82,2,1,5,4,85.95,381.3,0,1,74,5640,1,95.325,4,1,381.3
180,180,180,29,2,1,5,3,45.35,141.5,0,1,67,2450,0,47.166666666666664,3,0,141.5
181,181,181,15,2,3,1,33,94.5,3105.55,0,1,96,4333,2,94.10757575757576,33,2,3105.55
182,182,182,97,4,3,1,30,91.7,2758.15,0,1,97,2482,3,91.93833333333333,30,3,2758.15
183,183,183,98,2,4,3,45,87.25,3941.7,0,1,73,5269,2,87.59333333333333,45,2,3941.7
184,184,184,99,2,1,4,10,98.55,1008.55,0,1,80,3658,3,100.85499999999999,10,3,1008.55
185,185,185,3,2,2,5,20,98.55,1842.8,0,1,92,5444,3,92.14,20,3,1842.8
186,186,186,100,3,2,15,15,85.9,1269.55,0,1,96,3579,2,84.63666666666667,15,2,1269.55
187,187,187,101,2,2,3,22,89.25,1907.85,0,1,82,3161,2,86.72045454545454,22,2,1907.85
188,188,188,2,2,1,3,3,70.3,208.85,0,1,66,3038,0,69.61666666666666,3,0,208.85
189,189,189,15,2,2,4,15,93.35,1444.65,0,1,77,5264,2,96.31,15,2,1444.65
190,190,190,8,1,1,4,1,19.9,19.9,0,1,100,4248,0,19.9,1,0,19.9
191,191,191,102,1,1,4,5,88.9,454.15,0,1,79,4356,3,90.83,5,3,454.15
192,192,192,32,2,3,5,33,95.8,3036.75,0,1,76,4161,3,92.02272727272727,33,3,3036.75
193,193,193,14,2,1,5,2,82.0,184.65,0,1,97,3051,1,92.325,2,1,184.65
194,194,194,27,2,1,5,2,45.35,89.5,0,1,81,3478,0,44.75,2,0,89.5
195,195,195,103,2,1,1,1,52.2,52.2,0,1,71,4138,1,52.2,1,1,52.2
196,196,196,104,2,4,1,46,110.0,4874.8,0,1,81,2403,5,105.97391304347826,46,5,4874.8
197,197,197,105,2,6,18,62,96.75,6125.4,0,1,92,5016,3,98.79677419354839,62,3,6125.4
198,198,198,106,2,1,18,10,98.5,1058.25,0,1,74,5184,3,105.825,10,3,1058.25
199,199,199,75,2,1,18,6,85.35,489.45,0,1,75,4694,2,81.575,6,2,489.45
200,200,200,9,2,4,19,40,101.3,4113.1,0,1,70,2576,3,102.82750000000001,40,3,4113.1
201,201,201,2,2,1,19,1,69.55,69.55,0,1,76,3042,0,69.55,1,0,69.55
202,202,202,107,3,5,19,58,103.25,6017.65,0,1,74,6105,4,103.75258620689655,58,4,6017.65
203,203,203,108,4,6,18,70,104.0,7250.15,0,1,80,4544,4,103.57357142857143,70,4,7250.15
204,204,204,109,1,1,18,2,86.2,178.7,0,1,95,2969,2,89.35,2,2,178.7
205,205,205,91,2,2,18,21,111.2,2317.1,0,1,89,4123,5,110.33809523809524,21,5,2317.1
206,206,206,110,4,2,19,16,89.45,1430.25,0,1,73,3696,3,89.390625,16,3,1430.25
207,207,207,15,3,1,1,7,95.6,644.35,0,1,83,3265,2,92.05,7,2,644.35
208,208,208,111,2,5,2,60,90.95,5453.4,0,1,76,4111,3,90.89,60,3,5453.4
209,209,209,112,2,5,2,50,108.55,5610.7,0,1,82,4274,5,112.214,50,5,5610.7
210,210,210,12,2,1,2,4,78.85,292.8,0,1,72,5301,1,73.2,4,1,292.8
211,211,211,27,1,1,4,1,44.4,44.4,0,1,89,3522,0,44.4,1,0,44.4
212,212,212,105,2,5,4,55,100.0,5509.3,0,1,83,5679,3,100.16909090909091,55,3,5509.3
213,213,213,93,3,1,4,12,19.8,229.6,0,1,94,2653,0,19.133333333333333,12,0,229.6
214,214,214,61,2,1,15,1,89.9,89.9,0,1,80,5951,2,89.9,1,2,89.9
215,215,215,105,2,6,4,62,100.15,6413.65,0,1,91,5600,3,103.44596774193548,62,3,6413.65
216,216,216,67,2,1,4,1,50.8,50.8,0,1,85,3718,1,50.8,1,1,50.8
217,217,217,45,2,2,4,20,73.65,1463.5,0,1,95,5849,1,73.175,20,1,1463.5
218,218,218,44,2,1,4,3,95.1,307.4,0,1,77,5861,3,102.46666666666665,3,3,307.4
219,219,219,15,4,2,4,22,94.65,2104.55,0,1,85,3665,2,95.66136363636365,22,2,2104.55
220,220,220,113,1,1,5,4,80.6,319.15,0,1,86,3080,2,79.7875,4,2,319.15
221,221,221,114,2,5,5,59,85.55,5084.65,0,1,80,6304,1,86.18050847457627,59,1,5084.65
222,222,222,94,2,5,5,60,50.8,3027.4,0,1,67,4941,3,50.45666666666667,60,3,3027.4
223,223,223,115,2,2,1,15,105.1,1582.75,0,1,84,2122,5,105.51666666666667,15,5,1582.75
224,224,224,116,2,1,1,10,110.1,1043.3,0,1,76,5803,6,104.33,10,6,1043.3
225,225,225,117,2,1,6,6,83.9,497.55,0,1,97,3962,2,82.925,6,2,497.55
226,226,226,118,2,6,6,63,100.55,6215.35,0,1,79,5413,4,98.65634920634922,63,4,6215.35
227,227,227,5,3,5,6,50,103.85,5017.9,0,1,100,5812,4,100.35799999999999,50,4,5017.9
228,228,228,51,2,1,6,1,24.6,24.6,0,1,76,5768,0,24.6,1,0,24.6
229,229,229,119,3,1,6,12,98.9,1120.95,0,1,71,5559,4,93.41250000000001,12,4,1120.95
230,230,230,71,4,1,6,9,98.3,923.5,0,1,81,2954,3,102.61111111111111,9,3,923.5
231,231,231,120,2,2,6,17,93.85,1625.65,0,1,93,4940,3,95.62647058823529,17,3,1625.65
232,232,232,3,2,1,6,9,100.5,918.6,0,1,70,4038,3,102.06666666666666,9,3,918.6
233,233,233,45,2,1,6,10,72.85,688.65,0,1,99,3189,1,68.865,10,1,688.65
234,234,234,22,2,1,6,1,73.55,73.55,0,1,94,4369,0,73.55,1,0,73.55
235,235,235,14,2,1,7,3,79.4,205.05,0,1,91,3501,1,68.35000000000001,3,1,205.05
236,236,236,35,2,2,8,13,81.15,952.3,0,1,79,4806,2,73.25384615384615,13,2,952.3
237,237,237,82,2,1,9,4,84.6,360.1,0,1,83,2467,1,90.025,4,1,360.1
238,238,238,18,2,1,10,6,79.05,434.5,0,1,99,3263,1,72.41666666666667,6,1,434.5
239,239,239,81,3,1,15,3,74.4,215.8,0,1,97,2054,0,71.93333333333334,3,0,215.8
240,240,240,3,2,3,15,35,99.05,3395.8,0,1,82,2074,3,97.02285714285715,35,3,3395.8
241,241,241,27,1,1,15,2,44.95,85.15,0,1,84,5900,0,42.575,2,0,85.15
242,242,242,27,4,1,15,1,44.7,44.7,0,1,74,3700,0,44.7,1,0,44.7
243,243,243,29,1,1,17,1,45.7,45.7,0,1,72,3571,0,45.7,1,0,45.7
244,244,244,121,4,1,3,8,100.3,832.35,0,1,74,5084,4,104.04375,8,4,832.35
245,245,245,8,2,1,4,7,19.25,112.3,0,1,82,4489,0,16.04285714285714,7,0,112.3
246,246,246,15,2,1,5,2,96.0,174.8,0,1,83,3391,2,87.4,2,2,174.8
247,247,247,101,2,1,1,1,90.55,90.55,0,1,72,2627,2,90.55,1,2,90.55
248,248,248,88,2,4,3,44,30.35,1359.7,0,1,96,4829,1,30.902272727272727,44,1,1359.7
249,249,249,122,2,6,3,71,108.05,7532.15,0,1,81,5200,5,106.08661971830985,71,5,7532.15
250,250,250,2,2,1,4,1,69.9,69.9,0,1,84,5367,0,69.9,1,0,69.9
251,251,251,107,2,6,4,62,103.75,6383.35,0,1,91,5052,4,102.95725806451614,62,4,6383.35
252,252,252,82,2,1,4,1,86.6,86.6,0,1,93,5228,1,86.6,1,1,86.6
253,253,253,14,3,3,5,33,80.6,2656.5,0,1,72,3601,1,80.5,33,1,2656.5
254,254,254,123,4,3,5,35,85.3,2917.5,0,1,88,2455,2,83.35714285714286,35,2,2917.5
255,255,255,2,4,3,5,34,70.0,2416.1,0,1,93,2318,0,71.06176470588235,34,0,2416.1
256,256,256,15,2,1,1,4,94.3,424.45,0,1,99,5419,2,106.1125,4,2,424.45
257,257,257,56,2,1,1,7,95.35,660.9,0,1,92,3077,3,94.41428571428571,7,3,660.9
258,258,258,22,2,3,3,27,75.5,1893.95,0,1,65,2377,0,70.1462962962963,27,0,1893.95
259,259,259,124,2,2,4,18,90.1,1612.75,0,1,80,4260,2,89.59722222222223,18,2,1612.75
260,260,260,47,2,1,5,2,68.95,119.75,0,1,84,5225,0,59.875,2,0,119.75
261,261,261,23,4,3,1,32,99.55,3204.65,0,1,71,5026,3,100.1453125,32,3,3204.65
262,262,262,125,2,2,3,18,57.45,990.85,0,1,84,2989,2,55.047222222222224,18,2,990.85
263,263,263,126,4,1,3,12,53.65,696.35,0,1,78,2595,1,58.02916666666667,12,1,696.35
264,264,264,3,2,1,4,8,100.6,819.4,0,1,90,5906,3,102.425,8,3,819.4
265,265,265,66,2,3,4,26,83.75,2070.6,0,1,84,2404,1,79.63846153846154,26,1,2070.6
266,266,266,127,1,1,4,3,88.3,273.75,0,1,68,4486,3,91.25,3,3,273.75
267,267,267,56,2,1,5,8,92.1,729.95,0,1,81,5662,3,91.24375,8,3,729.95
268,268,268,96,2,4,5,38,79.45,3013.05,0,1,85,2405,2,79.29078947368421,38,2,3013.05
269,269,269,101,4,2,5,14,90.45,1266.1,0,1,96,4777,2,90.43571428571428,14,2,1266.1
270,270,270,2,3,3,15,32,69.75,2347.9,0,1,96,2356,0,73.371875,32,0,2347.9
271,271,271,8,1,1,1,1,19.65,19.65,0,1,99,5881,0,19.65,1,0,19.65
272,272,272,128,2,1,3,12,43.65,526.95,0,1,74,2437,3,43.9125,12,3,526.95
273,273,273,129,2,1,4,5,39.5,210.75,0,1,93,2863,2,42.15,5,2,210.75
274,274,274,15,3,4,5,40,97.1,3706.95,0,1,67,3099,2,92.67375,40,2,3706.95
275,275,275,64,2,1,1,5,80.0,412.5,0,1,97,3937,1,82.5,5,1,412.5
